Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude_orig,Longtitude_orig,Latitude_add,Longtitude_add,Latitude_mix,Longtitute_mix
U NOR2000;37 $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V,,Torbjörn 2 (A) [Källström 2011c],sten,mörkröd sandsten,3 fragment av runsten,59.6275384,,59.6165,17.7235,59.6275384,17.7235
U NOR2001;19 $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V ca 1000-1030,,,trä,trä,trissa,59.62840149,,59.6165,17.7235,59.62840149,17.7235
U NOR2001;20  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 993-1013,,,ben/horn,ben,"runben, revben",59.62836727,,59.6165,17.7235,59.62836727,17.7235
U NOR2001;21  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 990-t,,,trä,trä,sticka,59.62833302,,59.6165,17.7235,59.62833302,17.7235
U NOR2001;22A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M,,,ben/horn,ben,"runben, revben",59.62829874,,59.6165,17.7235,59.62829874,17.7235
U NOR2001;22B M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62826444,,59.6165,17.7235,59.62826444,17.7235
U NOR2001;23 M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.6282301,,59.6165,17.7235,59.6282301,17.7235
U NOR2001;24  ,Björkö ,Adelsö sn,Färentuna ,Ekerö,,6580450.16,,,V 900-t,,,ben/horn,ben,"runben, fragment",59.34330427,,59.2975,17.8142,59.34330427,17.8142
U NOR2002;26  ,Björkö ,Adelsö sn,Färentuna ,Ekerö,,6580500.16,,,V,,,metall,brons,bleck,59.34371892,,59.2975,17.8142,59.34371892,17.8142
U NOR2002;28  ,Björkö ,Adelsö sn,Färentuna ,Ekerö,,6580500.16,,,V,,,metall,brons,bleck,59.34368488,,59.2975,17.8142,59.34368488,17.8142
U NOR2002;29  ,Kungsgården,Gamla Uppsala sn (nu Uppsala),Vaksala ,Uppsala,"SHM (8889:2), deponerad i Gamla Uppsala museum",6643750.16,,,V/M,,,metall,silver (förgylld),skål,59.911172,,59.8586,17.6389,59.911172,17.6389
